token,distinct_heads,distinct_pharmacies,offers,sample_heads
paracetamol,16,7,145,"xumadol brevex gesidol alividol dropol geniol"
ibuprofeno,11,6,74,"pyriped ibucalm ibupirac actron triofeno niofen"
metformina,10,6,47,"glimefor glaupax glucosan glicenex diametina glucophage"
salbutamol,10,4,17,"butotal aerohaler sinasmal asmavent asmaventb bropil"
amoxicilina,9,7,95,"zolimax clavam moxivulan optamox novamox maximox"
betametasona,8,3,16,"prodelb betavol cam cobefen clofexan cidoten"
cetirizina,7,4,45,"remitex coolips zyrtec rigotax cetirex findaler"
diclofenaco,7,4,34,"merpal lertussr lertus dolo dolodrin promerpal"
losartan,7,3,30,"lopren corodin cozaar losapres hyzaar simpertend"
melatonina,6,4,11,"circalife spray melrest cicatricure arama vigisom"
sertralina,6,4,26,"iseren deprax seronex altruline sertac seluran"
ambroxol,5,7,32,"tocalm muxol mintamox broncot pazbronq"
atorvastatina,5,3,23,"hipolixan lipoten toresta colmibe lipitor"
clonazepam,5,3,13,"clonex clozanil valpax neuryl ravotril"
calcio,4,2,7,"elcal elcald pluscal magnatil"
ciprofloxacino,4,5,11,"tigina ciproval ciriax cetraxal"
clotrimazol,4,3,9,"fungos creminem donomix tribesona"
diclorhidrato,4,3,16,"rigotax levocetirizina cetirizina findaler"
levotiroxina,4,4,42,"bago eutirox synthroid novothyral"
loratadina,4,4,7,"alledryl alledryld hysticlar frenalerd"
prednisona,4,4,16,"bersen procion minovor cortiprex"
acetilsalicilico,3,3,11,"aspirina cafiaspirina cardioaspirina"
azitromicina,3,5,26,"azithral trex azitrom"
dexametasona,3,4,9,"baycuten cortyk dexagin"
enalapril,3,4,12,"diotensil enalten enaltendn"
levocetirizina,3,2,10,"levorigotax xuzal neoalertop"
naproxeno,3,4,15,"flectane eurogesic triox"
clavulanico,2,3,8,"amoxicilina moxivulan"
colestiramina,2,2,6,"prolertus promerpal"
desloratadina,2,2,3,"neo neoalledryl"
fluconazol,2,3,4,"felsol diflucan"
hidroclorotiazida,2,4,10,"hyzaar losartan"
pseudoefedrina,2,2,6,"rigotaxd alledryld"
sodio,2,2,2,"naproxeno betametasona"
