presentation_signature,cards,distinct_presentation_keys,pharmacies,min_price,max_price
"losartan 50mg::losartan~-~solid-oral~-~30~-",17,17,7,490,3490
"losartan::losartan~-~solid-oral~-~30~-",17,17,7,490,3490
"tapsin::tapsin~-~fluid-oral~-~1~-",16,16,7,590,5790
"ibuprofeno 400mg::ibuprofeno~-~solid-oral~-~20~-",15,15,9,642,2090
"ibuprofeno::ibuprofeno~-~solid-oral~-~20~-",15,15,9,642,2090
"tapsin::tapsin~-~solid-oral~-~12~-",15,15,7,1290,5599
"diclofenaco 50mg::diclofenaco~-~topical~-~-~-",13,13,7,800,2815
"diclofenaco 50mg::diclofenaco~-~suppository~-~5~-",12,12,5,839,3343
"tapsin::tapsin~-~solid-oral~-~30~-",11,11,5,2890,6599
"amoxicilina 500mg::amoxicilina~-~solid-oral~acido~20~-",10,10,6,4980,11527
"tapsin::tapsin~-~solid-oral~-~20~-",10,10,6,1990,7552
"tapsin::tapsin~-~solid-oral~-~18~-",10,10,7,1990,4190
"losartan 50mg::losartan~-~solid-oral~hidroclorotiazida~30~-",9,9,6,1690,3990
"losartan::losartan~-~solid-oral~hidroclorotiazida~30~-",9,9,6,1690,3990
"omeprazol 20mg::esomeprazol~-~solid-oral~-~30~-",9,9,4,2520,5990
"omeprazol::esomeprazol~-~solid-oral~-~30~-",9,9,4,2520,5990
"cetirizina 10mg::cetirizina~-~solid-oral~-~30~-",8,8,5,1790,3599
"diclofenaco 50mg::diclofenaco~-~solid-oral~-~8~-",8,8,6,690,1847
"ibuprofeno 400mg::dolorub~-~topical~-~-~-",8,8,6,2700,5849
"ibuprofeno::dolorub~-~topical~-~-~-",8,8,6,2700,5849
"tapsin::tapsin~-~solid-oral~-~6~-",8,8,5,460,5490
"tapsin::tapsin~-~solid-oral~-~16~-",8,8,6,890,2890
"ambroxol 30mg/5ml::ambroxol~30mg/5ml~fluid-oral~-~-~100",7,7,2,790,3255
"ambroxol 30mg::ambroxol~30mg/5ml~fluid-oral~-~-~100",7,7,2,790,3255
"ambroxol 30mg/5ml jarabe 100ml::ambroxol~30mg/5ml~fluid-oral~-~-~100",7,7,2,790,3255
"ambroxol::ambroxol~30mg/5ml~fluid-oral~-~-~100",7,7,2,790,3255
"amoxicilina 500mg::amoxicilina~-~solid-oral~-~21~-",7,7,8,1690,3190
"ibuprofeno 400mg::actron~-~solid-oral~-~10~-",7,7,6,2771,5620
"ibuprofeno::actron~-~solid-oral~-~10~-",7,7,6,2771,5620
"losartan 50mg::losapres~-~solid-oral~-~30~-",7,7,4,17990,32090
"losartan::losapres~-~solid-oral~-~30~-",7,7,4,17990,32090
"omeprazol 20mg::omeprazol~-~solid-oral~-~30~-",7,7,7,750,1387
"omeprazol::omeprazol~-~solid-oral~-~30~-",7,7,7,750,1387
"paracetamol 500mg::paracetamol~-~solid-oral~-~16~-",7,7,8,359,1740
"paracetamol 500mg::paracetamol~-~solid-oral~-~20~-",7,7,4,990,10999
"paracetamol::paracetamol~-~solid-oral~-~16~-",7,7,8,359,1740
"paracetamol::paracetamol~-~solid-oral~-~20~-",7,7,4,990,10999
"tapsin::tapsin~-~fluid-oral~-~-~-",7,7,4,600,1040
"cetirizina 10mg::rigotax~-~solid-oral~-~30~-",6,6,6,3000,14990
"ibuprofeno 400mg::ibucalm~-~solid-oral~-~10~-",6,6,4,1490,5280
"ibuprofeno::ibucalm~-~solid-oral~-~10~-",6,6,4,1490,5280
"omeprazol 20mg::omeprazol~-~solid-oral~-~60~-",6,6,6,1550,2990
"omeprazol::omeprazol~-~solid-oral~-~60~-",6,6,6,1550,2990
"tapsin::tapsin~-~-~-~-~-",6,6,2,450,791
"tapsin::tapsin~-~fluid-oral~-~20~-",6,6,6,4989,5990
"amoxicilina 500mg::amoval~-~solid-oral~-~21~-",5,5,4,15390,30940
"amoxicilina 500mg::amoxicilina~-~solid-oral~-~10~-",5,5,7,1690,3290
"amoxicilina 500mg::novamox~-~solid-oral~-~14~-",5,5,5,8550,15290
"cetirizina 10mg::cetirizina~5mg/5ml~fluid-oral~-~-~60",5,5,4,2989,3799
"diclofenaco 50mg::diclofenaco~-~solid-oral~-~10~-",5,5,5,290,1231
"diclofenaco 50mg::diclofenaco~-~-~-~-~-",5,5,1,990,1990
"ibuprofeno 400mg::ibupirac~-~solid-oral~-~10~-",5,5,5,1690,6599
"ibuprofeno 400mg::ibucalm~-~solid-oral~-~20~-",5,5,3,1990,7590
"ibuprofeno::ibupirac~-~solid-oral~-~10~-",5,5,5,1690,6599
"ibuprofeno::ibucalm~-~solid-oral~-~20~-",5,5,3,1990,7590
"losartan 50mg::corodin~-~solid-oral~-~30~-",5,5,3,19246,28790
"losartan::corodin~-~solid-oral~-~30~-",5,5,3,19246,28790
"paracetamol 500mg::paracetamol~-~suppository~-~6~-",5,5,6,780,2040
